"","diff","lwr","upr","p adj"
"bir-BIP",-0.285714285714278,-1.28718034686205,0.715751775433491,0.993389029373644
"BUN-BIP",-0.119047619047608,-1.12051368019538,0.882418442100161,0.999989821576724
"MEL-BIP",7.28571428571435,6.28424822456658,8.28718034686212,0
"PAL-BIP",-0.142857142857136,-1.14432320400491,0.858608918290633,0.999958361329992
"PAN-BIP",0.642857142857125,-0.358608918290644,1.64432320400489,0.54218782374027
"PSA-BIP",-0.333333333333329,-1.3347993944811,0.66813272781444,0.981840916880716
"SIM-BIP",5.07142857142857,4.0699625102808,6.07289463257634,0
"SUL-BIP",-0.547619047619047,-1.54908510876682,0.453847013528722,0.742414462976502
"BUN-bir",0.16666666666667,-0.834799394481099,1.16813272781444,0.999865220203455
"MEL-bir",7.57142857142863,6.56996251028086,8.5728946325764,0
"PAL-bir",0.142857142857141,-0.858608918290628,1.14432320400491,0.999958361329992
"PAN-bir",0.928571428571403,-0.072894632576366,1.93003748971917,0.0936733299947179
"PSA-bir",-0.047619047619051,-1.04908510876682,0.953847013528718,0.999999992659567
"SIM-bir",5.35714285714285,4.35567679599508,6.35860891829062,0
"SUL-bir",-0.26190476190477,-1.26337082305254,0.739561299242999,0.996357527883002
"MEL-BUN",7.40476190476196,6.40329584361419,8.40622796590973,0
"PAL-BUN",-0.0238095238095282,-1.0252755849573,0.977656537338241,0.999999999970982
"PAN-BUN",0.761904761904733,-0.239561299243036,1.7633708230525,0.301477315396771
"PSA-BUN",-0.214285714285721,-1.21575177543349,0.787180346862048,0.999127636248061
"SIM-BUN",5.19047619047618,4.18901012932841,6.19194225162395,0
"SUL-BUN",-0.428571428571439,-1.43003748971921,0.57289463257633,0.920086448439614
"PAL-MEL",-7.42857142857149,-8.43003748971926,-6.42710536742372,0
"PAN-MEL",-6.64285714285722,-7.64432320400499,-5.64139108170946,0
"PSA-MEL",-7.61904761904768,-8.62051368019545,-6.61758155789991,0
"SIM-MEL",-2.21428571428578,-3.21575177543355,-1.21281965313801,8.25992607644821e-10
"SUL-MEL",-7.8333333333334,-8.83479939448117,-6.83186727218563,0
"PAN-PAL",0.785714285714262,-0.215751775433507,1.78718034686203,0.261327099638631
"PSA-PAL",-0.190476190476192,-1.19194225162396,0.810989870671577,0.999633257648816
"SIM-PAL",5.21428571428571,4.21281965313794,6.21575177543348,0
"SUL-PAL",-0.404761904761911,-1.40622796590968,0.596704156385858,0.941704825256791
"PSA-PAN",-0.976190476190454,-1.97765653733822,0.025275584957315,0.062630783933377
"SIM-PAN",4.42857142857145,3.42710536742368,5.43003748971921,0
"SUL-PAN",-1.19047619047617,-2.19194225162394,-0.189010129328404,0.00732747728220828
"SIM-PSA",5.4047619047619,4.40329584361413,6.40622796590967,0
"SUL-PSA",-0.214285714285719,-1.21575177543349,0.78718034686205,0.999127636248061
"SUL-SIM",-5.61904761904762,-6.62051368019539,-4.61758155789985,0
