"","sp","coef.elev","p.elev","coef.trans","p.trans","coef.int","p.int","Host","h.mean","hIndex.mean"
"1","bunnanda","-63.9227583343254","0.993327282816501","NA","NA","NA","NA","bunnanda",70,0
"2","pandora","-7.8441675379957","0.00169019514546558","NA","NA","NA","NA","pandora",110,0.0714285714285714
"3","bipectinata","-3.05329616796192","0.0221492140941772","1.8253437044716","0.00108620048319478","-6.22715376763587","0.0178741620117038","bipectinata",150.882352941176,0.117647058823529
"4","pseudoananassae","-0.526778143321585","0.226519262357817","0.179915624282098","0.603704308016025","-4.81546877755838","3.35969191360573e-05","pseudoananassae",332.585034013605,0.404761904761905
"5","rubida","-0.765641464847328","0.0569888623801384","-0.290452489045995","0.288211729464136","0.640196475765322","0.221240494400232","sulfurigaster",367.142857142857,0.428571428571429
"6","sulfurigaster","-0.912745446354519","0.535046627016058","0.11453571645676","0.897639159610417","-0.00884141018106131","0.996346517016959","rubida",423.044871794872,0.53525641025641
"7","birchii","1.24418495557052","0.267567854934507","0.40731669015102","0.619727572079053","-0.942459918394956","0.51172396040094","birchii",498.8,0.64
"8","palidifrons","2.90189856467355","1.49941334316875e-05","0.438734481666777","0.393311758967112","-0.543771585146684","0.505708122197114","palidifrons",622.5,0.762931034482759
"9","pseudotakahashii","12.4999432912652","3.49231796034125e-07","NA","NA","NA","NA","pseudotakahashii",852.093023255814,1
